,trial_type,ratio,accuracy,model,n1,n2
84,column_pairs_sorted,1.33333333333,1.0,VGG11,4.0,3.0
85,column_pairs_sorted,1.25,1.0,VGG11,5.0,4.0
86,column_pairs_sorted,1.2,1.0,VGG11,6.0,5.0
87,column_pairs_sorted,1.16666666667,1.0,VGG11,7.0,6.0
88,column_pairs_sorted,1.14285714286,1.0,VGG11,8.0,7.0
89,column_pairs_sorted,1.125,1.0,VGG11,9.0,8.0
90,scattered_pairs,1.11111111111,0.93,VGG11,10.0,9.0
91,scattered_pairs,2.0,1.0,VGG11,2.0,1.0
92,scattered_pairs,1.5,1.0,VGG11,3.0,2.0
93,scattered_pairs,1.33333333333,1.0,VGG11,4.0,3.0
94,scattered_pairs,1.25,0.99,VGG11,5.0,4.0
95,scattered_pairs,1.2,0.99,VGG11,6.0,5.0
96,scattered_pairs,1.16666666667,0.98,VGG11,7.0,6.0
97,scattered_pairs,1.14285714286,0.99,VGG11,8.0,7.0
98,scattered_pairs,1.125,0.99,VGG11,9.0,8.0
99,scattered_random,1.11111111111,0.8,VGG11,10.0,9.0
100,scattered_random,2.0,1.0,VGG11,2.0,1.0
101,scattered_random,1.5,1.0,VGG11,3.0,2.0
102,scattered_random,1.33333333333,0.98,VGG11,4.0,3.0
103,scattered_random,1.25,0.96,VGG11,5.0,4.0
104,scattered_random,1.2,0.9,VGG11,6.0,5.0
105,scattered_random,1.16666666667,0.86,VGG11,7.0,6.0
106,scattered_random,1.14285714286,0.8,VGG11,8.0,7.0
107,scattered_random,1.125,0.87,VGG11,9.0,8.0
108,column_pairs_mixed,1.11111111111,1.0,VGG13,10.0,9.0
109,column_pairs_mixed,2.0,1.0,VGG13,2.0,1.0
110,column_pairs_mixed,1.5,1.0,VGG13,3.0,2.0
111,column_pairs_mixed,1.33333333333,1.0,VGG13,4.0,3.0
112,column_pairs_mixed,1.25,1.0,VGG13,5.0,4.0
113,column_pairs_mixed,1.2,1.0,VGG13,6.0,5.0
114,column_pairs_mixed,1.16666666667,1.0,VGG13,7.0,6.0
115,column_pairs_mixed,1.14285714286,1.0,VGG13,8.0,7.0
116,column_pairs_mixed,1.125,1.0,VGG13,9.0,8.0
117,column_pairs_sorted,1.11111111111,1.0,VGG13,10.0,9.0
118,column_pairs_sorted,2.0,1.0,VGG13,2.0,1.0
119,column_pairs_sorted,1.5,1.0,VGG13,3.0,2.0
120,column_pairs_sorted,1.33333333333,1.0,VGG13,4.0,3.0
121,column_pairs_sorted,1.25,1.0,VGG13,5.0,4.0
122,column_pairs_sorted,1.2,1.0,VGG13,6.0,5.0
123,column_pairs_sorted,1.16666666667,1.0,VGG13,7.0,6.0
124,column_pairs_sorted,1.14285714286,1.0,VGG13,8.0,7.0
125,column_pairs_sorted,1.125,1.0,VGG13,9.0,8.0
126,scattered_pairs,1.11111111111,0.97,VGG13,10.0,9.0
127,scattered_pairs,2.0,1.0,VGG13,2.0,1.0
128,scattered_pairs,1.5,1.0,VGG13,3.0,2.0
129,scattered_pairs,1.33333333333,1.0,VGG13,4.0,3.0
130,scattered_pairs,1.25,1.0,VGG13,5.0,4.0
131,scattered_pairs,1.2,0.99,VGG13,6.0,5.0
132,scattered_pairs,1.16666666667,1.0,VGG13,7.0,6.0
133,scattered_pairs,1.14285714286,1.0,VGG13,8.0,7.0
134,scattered_pairs,1.125,0.99,VGG13,9.0,8.0
135,scattered_random,1.11111111111,0.85,VGG13,10.0,9.0
136,scattered_random,2.0,1.0,VGG13,2.0,1.0
137,scattered_random,1.5,1.0,VGG13,3.0,2.0
138,scattered_random,1.33333333333,1.0,VGG13,4.0,3.0
139,scattered_random,1.25,0.99,VGG13,5.0,4.0
140,scattered_random,1.2,0.89,VGG13,6.0,5.0
141,scattered_random,1.16666666667,0.88,VGG13,7.0,6.0
142,scattered_random,1.14285714286,0.88,VGG13,8.0,7.0
143,scattered_random,1.125,0.87,VGG13,9.0,8.0
144,column_pairs_mixed,1.11111111111,0.86,RAM4,10.0,9.0
145,column_pairs_mixed,2.0,1.0,RAM4,2.0,1.0
146,column_pairs_mixed,1.5,0.98,RAM4,3.0,2.0
147,column_pairs_mixed,1.33333333333,0.98,RAM4,4.0,3.0
148,column_pairs_mixed,1.25,0.99,RAM4,5.0,4.0
149,column_pairs_mixed,1.2,0.87,RAM4,6.0,5.0
150,column_pairs_mixed,1.16666666667,0.9,RAM4,7.0,6.0
151,column_pairs_mixed,1.14285714286,0.92,RAM4,8.0,7.0
152,column_pairs_mixed,1.125,0.95,RAM4,9.0,8.0
153,column_pairs_sorted,1.11111111111,0.96,RAM4,10.0,9.0
154,column_pairs_sorted,2.0,1.0,RAM4,2.0,1.0
155,column_pairs_sorted,1.5,1.0,RAM4,3.0,2.0
156,column_pairs_sorted,1.33333333333,1.0,RAM4,4.0,3.0
157,column_pairs_sorted,1.25,1.0,RAM4,5.0,4.0
158,column_pairs_sorted,1.2,0.98,RAM4,6.0,5.0
159,column_pairs_sorted,1.16666666667,0.99,RAM4,7.0,6.0
160,column_pairs_sorted,1.14285714286,0.99,RAM4,8.0,7.0
161,column_pairs_sorted,1.125,0.97,RAM4,9.0,8.0
162,scattered_pairs,1.11111111111,0.55,RAM4,10.0,9.0
163,scattered_pairs,2.0,0.77,RAM4,2.0,1.0
164,scattered_pairs,1.5,0.73,RAM4,3.0,2.0
165,scattered_pairs,1.33333333333,0.73,RAM4,4.0,3.0
166,scattered_pairs,1.25,0.64,RAM4,5.0,4.0
167,scattered_pairs,1.2,0.6,RAM4,6.0,5.0
168,scattered_pairs,1.16666666667,0.53,RAM4,7.0,6.0
169,scattered_pairs,1.14285714286,0.54,RAM4,8.0,7.0
170,scattered_pairs,1.125,0.58,RAM4,9.0,8.0
171,scattered_random,1.11111111111,0.54,RAM4,10.0,9.0
172,scattered_random,2.0,0.77,RAM4,2.0,1.0
173,scattered_random,1.5,0.66,RAM4,3.0,2.0
174,scattered_random,1.33333333333,0.58,RAM4,4.0,3.0
175,scattered_random,1.25,0.63,RAM4,5.0,4.0
176,scattered_random,1.2,0.56,RAM4,6.0,5.0
177,scattered_random,1.16666666667,0.58,RAM4,7.0,6.0
178,scattered_random,1.14285714286,0.56,RAM4,8.0,7.0
179,scattered_random,1.125,0.54,RAM4,9.0,8.0
180,column_pairs_mixed,1.11111111111,0.96,RAM8,10.0,9.0
181,column_pairs_mixed,2.0,1.0,RAM8,2.0,1.0
182,column_pairs_mixed,1.5,1.0,RAM8,3.0,2.0
183,column_pairs_mixed,1.33333333333,1.0,RAM8,4.0,3.0
184,column_pairs_mixed,1.25,0.99,RAM8,5.0,4.0
185,column_pairs_mixed,1.2,0.98,RAM8,6.0,5.0
186,column_pairs_mixed,1.16666666667,1.0,RAM8,7.0,6.0
187,column_pairs_mixed,1.14285714286,0.99,RAM8,8.0,7.0
188,column_pairs_mixed,1.125,0.98,RAM8,9.0,8.0
189,column_pairs_sorted,1.11111111111,0.99,RAM8,10.0,9.0
190,column_pairs_sorted,2.0,1.0,RAM8,2.0,1.0
191,column_pairs_sorted,1.5,1.0,RAM8,3.0,2.0
192,column_pairs_sorted,1.33333333333,1.0,RAM8,4.0,3.0
193,column_pairs_sorted,1.25,1.0,RAM8,5.0,4.0
194,column_pairs_sorted,1.2,1.0,RAM8,6.0,5.0
195,column_pairs_sorted,1.16666666667,1.0,RAM8,7.0,6.0
196,column_pairs_sorted,1.14285714286,1.0,RAM8,8.0,7.0
197,column_pairs_sorted,1.125,0.99,RAM8,9.0,8.0
198,scattered_pairs,1.11111111111,0.63,RAM8,10.0,9.0
199,scattered_pairs,2.0,0.79,RAM8,2.0,1.0
200,scattered_pairs,1.5,0.75,RAM8,3.0,2.0
201,scattered_pairs,1.33333333333,0.73,RAM8,4.0,3.0
202,scattered_pairs,1.25,0.65,RAM8,5.0,4.0
203,scattered_pairs,1.2,0.65,RAM8,6.0,5.0
204,scattered_pairs,1.16666666667,0.48,RAM8,7.0,6.0
205,scattered_pairs,1.14285714286,0.63,RAM8,8.0,7.0
206,scattered_pairs,1.125,0.67,RAM8,9.0,8.0
207,scattered_random,1.11111111111,0.49,RAM8,10.0,9.0
208,scattered_random,2.0,0.71,RAM8,2.0,1.0
209,scattered_random,1.5,0.8,RAM8,3.0,2.0
210,scattered_random,1.33333333333,0.67,RAM8,4.0,3.0
211,scattered_random,1.25,0.64,RAM8,5.0,4.0
212,scattered_random,1.2,0.71,RAM8,6.0,5.0
213,scattered_random,1.16666666667,0.57,RAM8,7.0,6.0
214,scattered_random,1.14285714286,0.49,RAM8,8.0,7.0
215,scattered_random,1.125,0.54,RAM8,9.0,8.0
216,column_pairs_mixed,1.11111111111,0.86,RAM16,10.0,9.0
217,column_pairs_mixed,2.0,1.0,RAM16,2.0,1.0
218,column_pairs_mixed,1.5,0.99,RAM16,3.0,2.0
219,column_pairs_mixed,1.33333333333,0.97,RAM16,4.0,3.0
220,column_pairs_mixed,1.25,0.93,RAM16,5.0,4.0
221,column_pairs_mixed,1.2,0.97,RAM16,6.0,5.0
222,column_pairs_mixed,1.16666666667,0.95,RAM16,7.0,6.0
223,column_pairs_mixed,1.14285714286,0.95,RAM16,8.0,7.0
224,column_pairs_mixed,1.125,0.91,RAM16,9.0,8.0
225,column_pairs_sorted,1.11111111111,0.92,RAM16,10.0,9.0
226,column_pairs_sorted,2.0,1.0,RAM16,2.0,1.0
227,column_pairs_sorted,1.5,1.0,RAM16,3.0,2.0
228,column_pairs_sorted,1.33333333333,0.98,RAM16,4.0,3.0
229,column_pairs_sorted,1.25,0.99,RAM16,5.0,4.0
230,column_pairs_sorted,1.2,0.99,RAM16,6.0,5.0
231,column_pairs_sorted,1.16666666667,0.99,RAM16,7.0,6.0
232,column_pairs_sorted,1.14285714286,0.94,RAM16,8.0,7.0
233,column_pairs_sorted,1.125,0.99,RAM16,9.0,8.0
234,scattered_pairs,1.11111111111,0.61,RAM16,10.0,9.0
235,scattered_pairs,2.0,0.86,RAM16,2.0,1.0
236,scattered_pairs,1.5,0.81,RAM16,3.0,2.0
237,scattered_pairs,1.33333333333,0.71,RAM16,4.0,3.0
238,scattered_pairs,1.25,0.61,RAM16,5.0,4.0
239,scattered_pairs,1.2,0.62,RAM16,6.0,5.0
240,scattered_pairs,1.16666666667,0.61,RAM16,7.0,6.0
241,scattered_pairs,1.14285714286,0.63,RAM16,8.0,7.0
242,scattered_pairs,1.125,0.53,RAM16,9.0,8.0
243,scattered_random,1.11111111111,0.51,RAM16,10.0,9.0
244,scattered_random,2.0,0.74,RAM16,2.0,1.0
245,scattered_random,1.5,0.73,RAM16,3.0,2.0
246,scattered_random,1.33333333333,0.54,RAM16,4.0,3.0
247,scattered_random,1.25,0.57,RAM16,5.0,4.0
248,scattered_random,1.2,0.71,RAM16,6.0,5.0
249,scattered_random,1.16666666667,0.54,RAM16,7.0,6.0
250,scattered_random,1.14285714286,0.6,RAM16,8.0,7.0
251,scattered_random,1.125,0.48,RAM16,9.0,8.0
252,column_pairs_mixed,1.11111111111,0.81,RAM24,10.0,9.0
253,column_pairs_mixed,2.0,1.0,RAM24,2.0,1.0
254,column_pairs_mixed,1.5,0.99,RAM24,3.0,2.0
255,column_pairs_mixed,1.33333333333,1.0,RAM24,4.0,3.0
256,column_pairs_mixed,1.25,0.95,RAM24,5.0,4.0
257,column_pairs_mixed,1.2,0.91,RAM24,6.0,5.0
258,column_pairs_mixed,1.16666666667,0.95,RAM24,7.0,6.0
259,column_pairs_mixed,1.14285714286,0.89,RAM24,8.0,7.0
260,column_pairs_mixed,1.125,0.89,RAM24,9.0,8.0
261,column_pairs_sorted,1.11111111111,0.94,RAM24,10.0,9.0
262,column_pairs_sorted,2.0,1.0,RAM24,2.0,1.0
263,column_pairs_sorted,1.5,1.0,RAM24,3.0,2.0
264,column_pairs_sorted,1.33333333333,1.0,RAM24,4.0,3.0
265,column_pairs_sorted,1.25,0.97,RAM24,5.0,4.0
266,column_pairs_sorted,1.2,0.97,RAM24,6.0,5.0
267,column_pairs_sorted,1.16666666667,0.98,RAM24,7.0,6.0
268,column_pairs_sorted,1.14285714286,1.0,RAM24,8.0,7.0
269,column_pairs_sorted,1.125,0.92,RAM24,9.0,8.0
270,scattered_pairs,1.11111111111,0.59,RAM24,10.0,9.0
271,scattered_pairs,2.0,0.85,RAM24,2.0,1.0
272,scattered_pairs,1.5,0.78,RAM24,3.0,2.0
273,scattered_pairs,1.33333333333,0.74,RAM24,4.0,3.0
274,scattered_pairs,1.25,0.73,RAM24,5.0,4.0
275,scattered_pairs,1.2,0.67,RAM24,6.0,5.0
276,scattered_pairs,1.16666666667,0.61,RAM24,7.0,6.0
277,scattered_pairs,1.14285714286,0.59,RAM24,8.0,7.0
278,scattered_pairs,1.125,0.63,RAM24,9.0,8.0
279,scattered_random,1.11111111111,0.54,RAM24,10.0,9.0
280,scattered_random,2.0,0.76,RAM24,2.0,1.0
281,scattered_random,1.5,0.72,RAM24,3.0,2.0
282,scattered_random,1.33333333333,0.71,RAM24,4.0,3.0
283,scattered_random,1.25,0.6,RAM24,5.0,4.0
284,scattered_random,1.2,0.67,RAM24,6.0,5.0
285,scattered_random,1.16666666667,0.55,RAM24,7.0,6.0
286,scattered_random,1.14285714286,0.52,RAM24,8.0,7.0
287,scattered_random,1.125,0.57,RAM24,9.0,8.0
